0,mains,mains,kitchen_outlets,lighting,stove,microwave,washer_dryer,kitchen_outlets,refrigerator,dishwaser,disposal
2011-04-17 23:18:00,16.6133333333,299.78,,,,,,,,,
2011-04-17 23:19:00,156.471351351,267.355675676,,,,,,,,,
2011-04-17 23:20:00,414.879074074,278.278703704,,,,,,,,,
2011-04-17 23:21:00,431.805333333,1363.44,,,,,,,,,
2011-04-17 23:22:00,441.758,2074.864,,,,,,,,,
2011-04-17 23:23:00,,,,,,,,,,,
2011-04-17 23:24:00,,,,,,,,,,,
2011-04-17 23:25:00,426.409166667,243.9875,,,,,,,,,
2011-04-17 23:26:00,427.7625,244.70625,,,,,,,,,
2011-04-17 23:27:00,,,,,,,,,,,
2011-04-17 23:28:00,,,,,,,,,,,
2011-04-17 23:29:00,,,,,,,,,,,
2011-04-17 23:30:00,,,,,,,,,,,
2011-04-17 23:31:00,,,,,,,,,,,
2011-04-17 23:32:00,,,,,,,,,,,
2011-04-17 23:33:00,,,,,,,,,,,
2011-04-17 23:34:00,,,,,,,,,,,
2011-04-17 23:35:00,,,,,,,,,,,
2011-04-17 23:36:00,,,,,,,,,,,
2011-04-17 23:37:00,,,,,,,,,,,
2011-04-17 23:38:00,,,,,,,,,,,
2011-04-17 23:39:00,,,,,,,,,,,
2011-04-17 23:40:00,,,,,,,,,,,
2011-04-17 23:41:00,,,,,,,,,,,
2011-04-17 23:42:00,,,,,,,,,,,
2011-04-17 23:43:00,,,,,,,,,,,
2011-04-17 23:44:00,,,,,,,,,,,
2011-04-17 23:45:00,,,,,,,,,,,
2011-04-17 23:46:00,,,,,,,,,,,
2011-04-17 23:47:00,,,,,,,,,,,
2011-04-17 23:48:00,,,,,,,,,,,
2011-04-17 23:49:00,,,,,,,,,,,
2011-04-17 23:50:00,,,,,,,,,,,
2011-04-17 23:51:00,,,,,,,,,,,
2011-04-17 23:52:00,,,,,,,,,,,
2011-04-17 23:53:00,,,,,,,,,,,
2011-04-17 23:54:00,,,,,,,,,,,
2011-04-17 23:55:00,,,,,,,,,,,
2011-04-17 23:56:00,,,,,,,,,,,
2011-04-17 23:57:00,,,,,,,,,,,
2011-04-17 23:58:00,,,,,,,,,,,
2011-04-17 23:59:00,,,,,,,,,,,
2011-04-18 00:00:00,,,,,,,,,,,
2011-04-18 00:01:00,,,,,,,,,,,
2011-04-18 00:02:00,,,,,,,,,,,
2011-04-18 00:03:00,,,,,,,,,,,
2011-04-18 00:04:00,,,,,,,,,,,
2011-04-18 00:05:00,,,,,,,,,,,
2011-04-18 00:06:00,,,,,,,,,,,
2011-04-18 00:07:00,,,,,,,,,,,
2011-04-18 00:08:00,,,,,,,,,,,
2011-04-18 00:09:00,,,,,,,,,,,
2011-04-18 00:10:00,,,,,,,,,,,
2011-04-18 00:11:00,,,,,,,,,,,
